,Año,Trimestre,Provincia,hasta 512kb,512Kb a 1Mb,1Mb a 6Mb,6Mb a 10Mb,10Mb a 20Mb,20Mb a 30Mb,mas de 30Mb,Otros,Total
68,2021,3,Santa Fe,4670,5790,193207,20125,83941,5508,290793,16267,841584
69,2021,3,Santiago Del Estero,1230,9090,32752,61838,11274,8010,6863,8980,115458
70,2021,3,Tierra Del Fuego,170,0,23723,13397,9782,1433,976,8950,50223
71,2021,3,Tucumán,320,970,39446,50293,21986,53,115154,1640,232472
72,2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351
73,2021,2,Capital Federal,2940,6030,157558,73568,43859,86655,1037752,660,1400355
74,2021,2,Catamarca,710,0,7219,9091,6828,4941,25388,2206,55744
75,2021,2,Chaco,3010,1120,23444,21574,24032,16069,47239,7958,140729
76,2021,2,Chubut,1040,1050,89639,22605,16604,3896,1112,5172,139237
77,2021,2,Córdoba,990,2452,201757,136516,6695,70824,442357,9925,930880
78,2021,2,Corrientes,670,6450,29419,27037,24524,10059,32697,5053,129501
79,2021,2,Entre Ríos,1070,3024,63518,55349,39468,18484,61605,16077,257632
80,2021,2,Formosa,3810,0,22364,731,746,1341,11077,1618,51551
81,2021,2,Jujuy,480,1750,24182,16577,37908,6070,29950,2401,111848
82,2021,2,La Pampa,2980,5540,64146,7769,8128,3399,9311,4062,97667
83,2021,2,La Rioja,180,10,5312,5971,23298,4825,42158,190,81602
84,2021,2,Mendoza,360,310,137462,10886,56117,4403,20686,500,229671
85,2021,2,Misiones,510,50,41643,25907,25811,16172,38308,8279,156176
86,2021,2,Neuquén,1120,3270,57713,8631,5871,5943,54008,5645,138250
87,2021,2,Río Negro,1250,5570,69356,3663,15019,3867,31488,20009,144084
88,2021,2,Salta,1010,200,42543,67012,7099,9654,58882,6328,191639
89,2021,2,San Juan,180,3330,59989,7840,1255,3400,278,4641,78933
90,2021,2,San Luis,600,0,11752,2703,5418,65946,22,36917,122818
91,2021,2,Santa Cruz,500,0,30595,8463,6888,1575,676,7350,48982
92,2021,2,Santa Fe,4670,8960,202018,204077,80452,75195,262124,15371,840600
93,2021,2,Santiago Del Estero,1230,9090,32034,62224,10359,8110,6064,1566,114090
94,2021,2,Tierra Del Fuego,170,0,21335,6913,458,4760,889,1483,35693
95,2021,2,Tucumán,320,970,40224,51648,23732,5022,109616,268,233051
96,2021,1,Buenos Aires,36939,31187,1108368,24052,163747,222061,2246313,10867,4060002
97,2021,1,Capital Federal,1350,2440,159662,76753,56457,83255,1003041,1260,1379673
98,2021,1,Catamarca,710,0,7423,8455,10115,7120,22996,2196,51968
99,2021,1,Chaco,3010,1120,24357,22102,27556,14496,42462,8384,139770
100,2021,1,Chubut,1060,1090,86986,21401,15392,2844,1112,439,132340
101,2021,1,Córdoba,930,2386,211799,135092,74659,71984,402191,12677,910881
102,2021,1,Corrientes,670,5270,31544,26223,26169,9001,27641,5453,126625
103,2021,1,Entre Ríos,1050,2911,67255,5606,42432,15774,54600,12826,251963
104,2021,1,Formosa,560,0,22409,7569,7916,1215,9579,1942,50686
105,2021,1,Jujuy,490,1750,23735,17293,40649,5680,25609,2378,110456
106,2021,1,La Pampa,2980,5540,68200,7864,7611,2786,7368,2424,97105
107,2021,1,La Rioja,180,10,36749,5968,4604,2150,5074,-10,52628
108,2021,1,Mendoza,280,400,134386,11216,52533,4061,16615,440,218923
109,2021,1,Misiones,510,5240,40949,25503,27101,1405,32953,8256,149387
110,2021,1,Neuquén,1160,3270,56171,8443,5903,5677,50840,5758,133235
111,2021,1,Río Negro,1250,4660,70011,4187,13045,3642,29589,20103,141168
112,2021,1,Salta,1090,200,40785,68149,9164,8139,54889,6319,187574
113,2021,1,San Juan,250,1940,60439,8580,11494,3400,276,4641,78267
114,2021,1,San Luis,580,0,11889,2926,4429,62913,22,36917,119154
115,2021,1,Santa Cruz,500,0,30655,8334,6987,1337,647,-1945,46065
116,2021,1,Santa Fe,5180,8910,201632,204458,91846,65476,236924,24382,826127
117,2021,1,Santiago Del Estero,1230,9090,33884,58464,8549,7000,4868,4144,111641
118,2021,1,Tierra Del Fuego,170,0,21379,1468,4317,4860,919,11836,40422
119,2021,1,Tucumán,290,970,42810,53416,25255,4188,103437,268,231912
120,2020,4,Buenos Aires,36939,31197,1109865,242243,214171,213588,2176242,9016,4033261
121,2020,4,Capital Federal,1350,2440,160210,78123,60208,80269,1000073,2680,1379530
122,2020,4,Catamarca,710,0,8843,874,11436,5910,20406,2309,52396
123,2020,4,Chaco,3010,1120,24782,22479,26802,15701,40949,7965,139091
124,2020,4,Chubut,1060,1090,88157,21824,12046,2818,1112,4402,130574
125,2020,4,Córdoba,1190,2386,214963,135262,82221,70013,384169,13568,902701
126,2020,4,Corrientes,670,5270,31900,26321,25687,9383,26789,4985,125659
127,2020,4,Entre Ríos,1050,2911,65659,53556,40755,166,53141,14654,247381
128,2020,4,Formosa,560,0,23540,7606,7181,1197,8946,168,50206
129,2020,4,Jujuy,490,1820,23772,14379,4493,4460,19282,2811,105851
130,2020,4,La Pampa,2980,5540,70184,8124,6562,2396,6257,252,96895
131,2020,4,La Rioja,180,10,36906,606,4633,1810,4979,0,52778
132,2020,4,Mendoza,280,400,146312,11172,40396,3378,11557,257,215453
133,2020,4,Misiones,510,5240,39988,26078,26445,1481,32264,7001,147161
134,2020,4,Neuquén,1160,3270,56434,8478,5791,5493,50776,572,133135
135,2020,4,Río Negro,1250,4660,70305,4153,13131,3512,29372,20146,141210
136,2020,4,Salta,1090,5140,41443,68829,15188,8291,46697,6319,187390
137,2020,4,San Juan,250,1940,61316,7400,5126,3320,275,4588,72596
138,2020,4,San Luis,580,0,14020,349,2688,62239,22,36918,119435
139,2020,4,Santa Cruz,470,0,27173,4382,6634,1033,647,7580,40674
140,2020,4,Santa Fe,5180,8910,206372,203793,94246,65145,226246,23602,820813
141,2020,4,Santiago Del Estero,1230,9090,34518,5759,4666,4110,4520,3932,106669
142,2020,4,Tierra Del Fuego,170,0,21881,6119,3497,4880,922,669,39614
143,2020,4,Tucumán,290,970,44095,54334,32155,4105,93594,268,231089
144,2020,3,Buenos Aires,37542,31514,1113823,23471,219772,194248,2085815,19853,3937277
145,2020,3,Capital Federal,2640,3120,162222,85083,68753,78028,977766,2470,1372675
146,2020,3,Catamarca,630,0,8276,8768,11195,5620,18886,2154,49904
147,2020,3,Chaco,3080,1120,24675,21639,27546,13751,38729,7194,133954
148,2020,3,Chubut,1580,1090,87559,22114,12217,2818,1110,3942,130027
149,2020,3,Córdoba,1680,3064,218599,124833,84236,63823,361021,11728,867472
150,2020,3,Corrientes,720,5270,35190,23315,25308,8615,25344,502,123391
151,2020,3,Entre Ríos,1300,2911,66648,51478,40797,14377,49395,15759,241495
152,2020,3,Formosa,3910,1510,23163,7432,7125,9910,8219,1737,49209
153,2020,3,Jujuy,550,1820,32131,10566,45198,2930,15238,3065,106728
154,2020,3,La Pampa,2930,8100,66695,782,5577,2189,6322,4029,93735
155,2020,3,La Rioja,210,10,37105,5955,466,1240,4748,20,52616
156,2020,3,Mendoza,580,400,141404,12123,42433,3448,8237,450,207788
157,2020,3,Misiones,710,5240,39005,24215,25942,13663,30987,8779,143186
158,2020,3,Neuquén,2180,3270,60463,6561,5975,5449,49439,8030,129235
159,2020,3,Río Negro,1140,4660,68986,3769,7096,3455,28488,19093,131467
